id_jogador;id_ano;ordem_equipes;id_equipe;id_liga;jogos_ganhados;jogos_perdidos;jogos_disputados;jogos_iniciados;jogos_completos;shutouts;jogos_salvos;IPouts;hits;corridas_merecidas;homerun;BB;strikeout;media_rebatida_oponente;media_corridas_merecidas;IBB;lances_desviados;HBP;BK;BFP;jogos_terminados;corridas;toques_sacrificio;fly_sacrificio;eliminacao_dupla
bechtge01;1871;1;PH1;"NA";1;2;3;3;2;0;0;78;43;23;0;11;1;NA;7,96;NA;7;NA;0;146;0;42;NA;NA;NA
brainas01;1871;1;WS3;"NA";12;15;30;30;30;0;0;792;361;132;4;37;13;NA;4,50;NA;7;NA;0;1291;0;292;NA;NA;NA
fergubo01;1871;1;NY2;"NA";0;0;1;0;0;0;0;3;8;3;0;0;0;NA;27,00;NA;2;NA;0;14;0;9;NA;NA;NA
fishech01;1871;1;RC1;"NA";4;16;24;24;22;1;0;639;295;103;3;31;15;NA;4,35;NA;20;NA;0;1080;1;257;NA;NA;NA
fleetfr01;1871;1;NY2;"NA";0;1;1;1;1;0;0;27;20;10;0;3;0;NA;10,00;NA;0;NA;0;57;0;21;NA;NA;NA
flowedi01;1871;1;TRO;"NA";0;0;1;0;0;0;0;3;1;0;0;0;0;NA;0,00;NA;0;NA;0;3;1;0;NA;NA;NA
mackde01;1871;1;RC1;"NA";0;1;3;1;1;0;0;39;20;5;0;3;1;NA;3,46;NA;1;NA;0;70;1;30;NA;NA;NA
mathebo01;1871;1;FW1;"NA";6;11;19;19;19;1;0;507;261;97;5;21;17;NA;5,17;NA;15;NA;2;876;0;243;NA;NA;NA
mcbridi01;1871;1;PH1;"NA";18;5;25;25;25;0;0;666;285;113;3;40;15;NA;4,58;NA;3;NA;0;1059;0;223;NA;NA;NA
mcmuljo01;1871;1;TRO;"NA";12;15;29;29;28;0;0;747;430;153;4;75;12;NA;5,53;NA;44;NA;0;1334;0;362;NA;NA;NA
meyerle01;1871;1;PH1;"NA";0;0;1;0;0;0;0;3;1;1;0;2;0;NA;9,00;NA;1;NA;0;6;1;1;NA;NA;NA
paborch01;1871;1;CL1;"NA";0;2;7;1;1;0;0;88;50;22;4;6;0;NA;6,75;NA;2;NA;0;160;5;53;NA;NA;NA
pinkhed01;1871;1;CH1;"NA";1;0;3;0;0;0;1;31;10;4;0;3;0;NA;3,48;NA;5;NA;0;51;3;8;NA;NA;NA
prattal01;1871;1;CL1;"NA";10;17;28;28;22;0;0;674;296;94;9;47;34;NA;3,77;NA;48;NA;0;1117;1;288;NA;NA;NA
spaldal01;1871;1;BS1;"NA";19;10;31;31;22;1;0;772;333;96;2;38;23;NA;3,36;NA;11;NA;0;1279;3;272;NA;NA;NA
stearbi01;1871;1;WS3;"NA";2;0;2;2;2;0;0;54;10;5;0;8;0;NA;2,50;NA;0;NA;0;75;0;11;NA;NA;NA
woltery01;1871;1;NY2;"NA";16;16;32;32;31;1;0;849;345;108;7;39;22;NA;3,43;NA;15;NA;0;1349;1;283;NA;NA;NA
wrighha01;1871;1;BS1;"NA";1;0;9;0;0;0;3;56;34;13;0;4;0;NA;6,27;NA;3;NA;0;105;6;31;NA;NA;NA
zettlge01;1871;1;CH1;"NA";18;9;28;28;25;0;0;722;298;73;6;25;22;NA;2,73;NA;24;NA;0;1143;0;233;NA;NA;NA
bentlcy01;1872;1;MID;"NA";2;15;18;17;14;0;0;432;259;97;4;12;5;NA;6,06;NA;6;NA;0;794;1;253;NA;NA;NA
brainas01;1872;1;WS3;"NA";2;7;9;9;9;0;0;237;148;56;0;5;1;NA;6,38;NA;12;NA;0;449;0;140;NA;NA;NA
brainas01;1872;2;MID;"NA";0;2;2;2;1;0;0;24;13;5;1;0;0;NA;5,63;NA;0;NA;0;50;0;17;NA;NA;NA
brittji01;1872;1;BR2;"NA";9;28;37;37;37;0;0;1008;568;169;6;21;13;NA;4,53;NA;26;NA;1;1762;0;473;NA;NA;NA
buttefr01;1872;1;MID;"NA";3;2;8;5;5;0;0;177;94;28;1;3;5;NA;4,27;NA;0;NA;0;295;3;78;NA;NA;NA
clintji01;1872;1;BR1;"NA";0;1;1;1;1;0;0;27;25;7;1;1;1;NA;7,00;NA;0;NA;0;68;0;36;NA;NA;NA
cummica01;1872;1;NY2;"NA";33;20;55;55;53;3;0;1491;604;166;2;31;45;NA;3,01;NA;15;NA;0;2251;0;347;NA;NA;NA
fishech01;1872;1;BL1;"NA";10;1;19;11;9;1;1;330;93;22;0;11;20;NA;1,80;NA;5;NA;0;482;6;78;NA;NA;NA
malonma01;1872;1;BR1;"NA";0;2;2;2;2;0;0;54;51;21;1;4;0;NA;10,50;NA;0;NA;0;119;0;50;NA;NA;NA
martiph01;1872;1;TRO;"NA";1;2;8;3;0;0;0;112;70;20;0;2;2;NA;4,82;NA;0;NA;0;202;4;59;NA;NA;NA
martiph01;1872;2;BR1;"NA";2;7;10;9;9;0;0;255;143;37;1;9;3;NA;3,92;NA;9;NA;0;448;1;106;NA;NA;NA
mathebo01;1872;1;BL1;"NA";25;18;49;47;39;0;0;1218;480;144;3;52;57;NA;3,19;NA;25;NA;0;1922;4;356;NA;NA;NA
mcbridi01;1872;1;PH1;"NA";30;14;47;47;47;1;0;1258;508;133;3;26;44;NA;2,85;NA;10;NA;0;1944;0;349;NA;NA;NA
mcderjo01;1872;1;BR1;"NA";0;7;7;7;7;0;0;189;143;57;3;14;1;NA;8,14;NA;17;NA;0;394;0;144;NA;NA;NA
mcmuljo01;1872;1;NY2;"NA";1;0;3;1;1;0;1;45;18;6;0;2;1;NA;3,60;NA;3;NA;0;75;2;15;NA;NA;NA
orour01;1872;1;BR1;"NA";0;1;1;1;1;0;0;27;16;8;0;2;0;NA;8,00;NA;1;NA;0;51;0;15;NA;NA;NA
paborch01;1872;1;CL1;"NA";1;1;2;2;2;0;0;54;20;8;0;3;0;NA;4,00;NA;3;NA;0;84;0;15;NA;NA;NA
prattal01;1872;1;CL1;"NA";2;9;15;12;8;0;0;317;150;68;3;14;7;NA;5,79;NA;14;NA;0;538;2;133;NA;NA;NA
spaldal01;1872;1;BS1;"NA";38;8;48;48;41;3;0;1214;417;83;0;27;28;NA;1,85;NA;39;NA;1;1738;1;224;NA;NA;NA
stearbi01;1872;1;WS4;"NA";0;11;11;11;11;0;0;297;193;68;2;3;2;NA;6,18;NA;2;NA;0;572;0;190;NA;NA;NA
woltery01;1872;1;CL1;"NA";3;6;12;8;5;0;0;226;115;51;3;7;4;NA;6,09;NA;6;NA;0;385;5;106;NA;NA;NA
wrighha01;1872;1;BS1;"NA";1;0;7;0;0;0;4;77;26;6;0;0;1;NA;2,10;NA;0;NA;0;109;6;12;NA;NA;NA
zettlge01;1872;1;TRO;"NA";14;8;25;22;17;2;1;563;207;45;2;8;17;NA;2,16;NA;3;NA;0;836;4;132;NA;NA;NA
zettlge01;1872;2;BR1;"NA";1;8;9;9;8;0;0;226;106;30;1;6;8;NA;3,58;NA;6;NA;0;360;0;62;NA;NA;NA
bechtge01;1873;1;PH2;"NA";0;2;3;2;1;0;0;48;27;8;0;2;0;NA;4,50;NA;0;NA;0;87;1;24;NA;NA;NA
brainas01;1873;1;BL1;"NA";5;7;14;14;12;0;0;326;182;50;0;9;3;NA;4,14;NA;3;NA;0;568;0;139;NA;NA;NA
brittji01;1873;1;BR2;"NA";17;36;54;54;51;1;0;1442;696;218;6;41;16;NA;4,08;NA;19;NA;0;2353;0;519;NA;NA;NA
campbhu01;1873;1;ELI;"NA";2;16;19;18;18;0;0;495;251;54;6;8;7;NA;2,95;NA;3;NA;0;852;1;213;NA;NA;NA
cummica01;1873;1;BL1;"NA";28;14;42;42;42;1;0;1146;475;119;4;33;34;NA;2,80;NA;10;NA;0;1768;0;292;NA;NA;NA
fergubo01;1873;1;BR2;"NA";0;1;4;1;1;0;0;58;41;12;2;2;0;NA;5,59;NA;0;NA;0;109;3;30;NA;NA;NA
fishech01;1873;1;PH1;"NA";3;4;13;5;5;0;2;253;90;17;1;10;14;NA;1,81;NA;6;NA;0;400;8;73;NA;NA;NA
fleetfr01;1873;1;ELI;"NA";0;3;3;3;2;0;0;72;57;14;0;0;1;NA;5,25;NA;0;NA;0;141;0;47;NA;NA;NA
forceda01;1873;1;BL1;"NA";1;1;3;1;1;0;0;54;23;5;0;1;0;NA;2,50;NA;1;NA;0;90;2;20;NA;NA;NA
frencbi01;1873;1;BL4;"NA";0;1;1;1;1;0;0;27;30;12;0;0;0;NA;12,00;NA;0;NA;0;65;0;27;NA;NA;NA
fulmech01;1873;1;PH2;"NA";0;0;2;0;0;0;0;15;7;2;0;1;0;NA;3,60;NA;0;NA;0;24;2;4;NA;NA;NA
greasjo01;1873;1;WS5;"NA";1;6;7;7;7;0;0;189;113;41;3;10;5;NA;5,86;NA;8;NA;0;325;0;90;NA;NA;NA
lovetle01;1873;1;ELI;"NA";0;1;1;1;1;0;0;27;22;7;0;1;1;NA;7,00;NA;0;NA;0;56;0;16;NA;NA;NA
martiph01;1873;1;NY2;"NA";0;1;6;1;1;0;0;102;50;13;0;6;1;NA;3,44;NA;1;NA;0;177;5;37;NA;NA;NA
mathebo01;1873;1;NY2;"NA";29;23;52;52;47;2;0;1329;489;127;5;62;79;NA;2,58;NA;23;NA;0;2008;0;348;NA;NA;NA
mcbridi01;1873;1;PH1;"NA";24;19;46;46;38;3;0;1148;453;142;3;47;25;NA;3,34;NA;9;NA;0;1778;0;325;NA;NA;NA
mcdoo01;1873;1;BL4;"NA";0;1;1;1;1;0;0;27;18;3;0;0;0;NA;3,00;NA;0;NA;0;59;0;24;NA;NA;NA
mcmuljo01;1873;1;PH1;"NA";1;0;1;1;1;0;0;24;10;2;0;1;2;NA;2,25;NA;0;NA;0;34;0;5;NA;NA;NA
selmafr01;1873;1;BL4;"NA";0;1;1;1;1;0;0;27;21;8;0;0;0;NA;8,00;NA;0;NA;0;60;0;26;NA;NA;NA
spaldal01;1873;1;BS1;"NA";41;14;60;54;46;1;3;1490;643;165;5;36;50;NA;2,99;NA;18;NA;0;2297;9;413;NA;NA;NA
stearbi01;1873;1;WS5;"NA";7;25;32;32;32;0;0;849;481;145;8;16;5;NA;4,61;NA;8;NA;0;1463;0;395;NA;NA;NA
strated01;1873;1;BL4;"NA";0;3;3;3;3;0;0;81;75;25;1;1;0;NA;8,33;NA;0;NA;0;183;0;75;NA;NA;NA
woltery01;1873;1;ELI;"NA";0;1;1;1;1;0;0;27;13;0;0;1;1;NA;0,00;NA;0;NA;0;60;0;23;NA;NA;NA
wrighha01;1873;1;BS1;"NA";2;2;14;6;0;0;4;118;65;18;0;6;5;NA;4,12;NA;2;NA;1;204;5;47;NA;NA;NA
