id_jogador;id_ano;ordem_equipes;id_equipe;id_liga;jogos_ganhados;jogos_perdidos;jogos_disputados;jogos_iniciados;jogos_completos;shutouts;jogos_salvos;IPouts;hits;corridas_merecidas;homerun;BB;strikeout;media_rebatida_oponente;media_corridas_merecidas;IBB;lances_desviados;HBP;BK;BFP;jogos_terminados;corridas;toques_sacrificio;fly_sacrificio;eliminacao_dupla
aardsda01;2006;1;CHN;NL;3;0;45;0;0;0;0;159;41;24;9;28;49;0,214;4,08;0;1;1;0;225;9;25;1;3;2
abreuwi01;2006;1;BAL;AL;0;0;7;0;0;0;0;24;10;9;1;6;6;0,294;10,13;1;0;1;0;42;2;10;0;1;0
accarje01;2006;1;SFN;NL;1;3;38;0;0;0;3;121;38;22;2;11;40;0,247;4,91;3;2;1;0;170;16;23;0;4;1
accarje01;2006;2;TOR;AL;1;1;27;0;0;0;0;86;38;19;5;9;14;0,325;5,97;2;2;0;1;127;11;19;1;0;2
adamsmi03;2006;1;MIL;NL;0;0;2;0;0;0;0;7;4;3;1;2;1;0,364;11,57;0;0;0;0;13;0;3;0;0;0
adkinjo01;2006;1;SDN;NL;2;1;55;0;0;0;0;163;55;24;3;20;30;0,271;3,98;4;0;2;0;232;15;26;5;2;8
affelje01;2006;1;KCA;AL;4;6;27;9;0;0;0;210;71;46;9;42;28;0,262;5,91;0;2;1;0;320;3;51;3;3;6
affelje01;2006;2;COL;NL;4;2;27;0;0;0;1;82;31;21;4;13;20;0,277;6,91;3;0;1;0;128;9;23;1;1;2
alberma01;2006;1;HOU;NL;0;2;4;2;0;0;0;45;17;10;1;7;11;0,298;6,00;0;0;0;0;66;0;10;2;0;3
alfonan01;2006;1;TEX;AL;0;0;19;0;0;0;0;48;23;10;3;7;5;0,348;5,63;0;0;0;0;74;3;10;0;1;3
alvarab01;2006;1;BOS;AL;0;0;1;0;0;0;0;9;5;4;2;2;2;0,385;12,00;0;0;0;0;15;0;4;0;0;1
andrast01;2006;1;KCA;AL;0;0;4;0;0;0;0;14;5;5;0;4;5;0,278;9,64;0;1;0;0;23;2;5;1;0;0
aquingr01;2006;1;ARI;NL;2;0;42;0;0;0;0;145;54;24;8;24;51;0,283;4,47;2;2;4;0;220;12;27;1;0;7
armasto02;2006;1;WAS;NL;9;12;30;30;0;0;0;462;167;86;19;64;97;0,279;5,03;7;6;13;1;693;0;96;12;6;14
arroybr01;2006;1;CIN;NL;14;11;35;35;3;1;0;722;222;88;31;64;184;0,243;3,29;7;6;5;0;992;0;98;9;2;14
asencmi01;2006;1;COL;NL;1;0;3;1;0;0;0;23;9;4;1;4;7;0,281;4,70;0;0;1;0;37;0;8;0;0;1
astacez01;2006;1;HOU;NL;2;0;6;0;0;0;0;17;7;7;2;6;6;0,292;11,12;3;0;0;0;30;2;7;0;0;0
astacpe01;2006;1;WAS;NL;5;5;17;17;1;1;0;271;109;60;14;31;42;0,301;5,98;3;0;1;1;407;0;64;8;5;6
backebr01;2006;1;HOU;NL;3;2;8;8;0;0;0;129;43;18;4;18;19;0,261;3,77;0;2;3;0;189;0;18;1;2;3
baekch01;2006;1;SEA;AL;4;1;6;6;0;0;0;103;26;14;6;13;23;0,208;3,67;0;1;2;0;140;0;15;0;0;1
baezda01;2006;1;LAN;NL;5;5;46;0;0;0;9;149;53;24;3;11;29;0,283;4,35;2;3;6;0;213;27;29;4;5;5
baezda01;2006;2;ATL;NL;0;1;11;0;0;0;0;30;7;6;0;6;10;0,189;5,40;1;0;1;0;44;1;6;0;0;0
bajenje01;2006;1;ARI;NL;0;1;1;0;0;0;0;3;4;4;3;0;0;0,571;36,00;0;0;0;0;7;0;4;0;0;0
bakersc02;2006;1;MIN;AL;5;8;16;16;0;0;0;250;114;59;17;16;62;0,324;6,37;1;0;3;0;377;0;63;2;4;4
bannibr01;2006;1;NYN;NL;2;1;8;6;0;0;0;114;34;18;4;22;19;0,239;4,26;2;2;2;0;171;1;18;1;4;1
barryke01;2006;1;ATL;NL;1;1;19;1;0;0;0;77;24;16;2;14;19;0,253;5,61;0;0;1;0;115;7;16;3;2;0
barziph01;2006;1;HOU;NL;0;0;1;0;0;0;0;1;1;0;0;0;0;0,500;0,00;0;0;0;0;2;0;0;0;0;0
batismi01;2006;1;ARI;NL;11;8;34;33;3;1;0;619;231;105;18;84;110;0,288;4,58;5;14;6;1;910;0;116;12;5;32
bauerri01;2006;1;TEX;AL;3;1;58;1;0;0;2;213;73;28;4;25;35;0,272;3,55;0;3;4;0;302;19;31;0;5;12
bautide01;2006;1;KCA;AL;0;2;8;7;0;0;0;105;38;22;5;17;22;0,277;5,66;0;5;4;0;161;0;24;1;2;2
bautide01;2006;2;COL;NL;0;1;4;1;0;0;0;20;9;4;0;4;5;0,310;5,40;0;0;0;0;33;3;10;0;0;0
baylijo01;2006;1;PIT;NL;1;1;11;0;0;0;0;44;13;7;1;11;15;0,241;4,30;2;2;1;0;69;5;7;2;1;0
beamtj01;2006;1;NYA;AL;2;0;20;0;0;0;0;54;26;17;5;6;12;0,338;8,50;2;1;2;1;85;5;17;0;0;2
beanco01;2006;1;NYA;AL;0;0;2;0;0;0;0;6;2;2;0;2;1;0,333;9,00;0;0;1;0;10;1;2;0;1;1
beckejo02;2006;1;BOS;AL;16;11;33;33;0;0;0;614;191;114;36;74;158;0,245;5,01;1;11;10;1;869;0;120;2;3;20
bedarer01;2006;1;BAL;AL;15;11;33;33;0;0;0;589;196;82;16;69;171;0,258;3,76;0;6;5;0;844;0;92;6;4;17
beimejo01;2006;1;LAN;NL;2;1;62;0;0;0;2;210;70;23;7;21;30;0,262;2,96;3;6;0;1;295;10;26;4;3;10
belisma01;2006;1;CIN;NL;2;0;30;2;0;0;0;120;43;16;5;19;26;0,277;3,60;1;3;3;0;180;5;18;1;2;5
bellhe01;2006;1;NYN;NL;0;0;22;0;0;0;0;111;51;21;6;11;35;0,331;5,11;2;1;0;0;166;6;25;1;0;6
benitar01;2006;1;SFN;NL;4;2;41;0;0;0;17;115;39;15;6;21;31;0,267;3,52;2;1;0;0;171;33;15;1;3;3
benoijo01;2006;1;TEX;AL;1;1;56;0;0;0;0;239;68;43;5;38;85;0,224;4,86;4;3;3;0;347;7;49;0;3;4
bensokr01;2006;1;BAL;AL;11;12;30;30;3;0;0;549;199;98;33;58;88;0,287;4,82;2;6;7;0;781;0;105;9;13;19
bergmja01;2006;1;WAS;NL;0;2;29;6;0;0;0;194;81;48;12;27;54;0,312;6,68;6;3;6;0;303;7;49;6;4;1
bernead01;2006;1;PHI;NL;0;1;1;1;0;0;0;6;7;8;3;2;0;0,538;36,00;0;0;0;0;15;0;8;0;0;0
bernead01;2006;2;KCA;AL;1;0;3;2;0;0;0;39;15;2;0;0;12;0,283;1,38;0;0;0;0;53;0;2;0;0;1
betanra01;2006;1;CLE;AL;3;4;50;0;0;0;3;170;52;24;7;11;48;0,241;3,81;5;0;0;0;231;17;25;2;2;2
billich01;2006;1;LAN;NL;7;4;18;16;0;0;0;270;92;38;7;58;59;0,272;3,80;3;5;3;0;403;0;43;4;0;12
birkiku01;2006;1;BAL;AL;5;2;35;0;0;0;0;93;25;17;4;16;27;0,221;4,94;0;3;3;0;136;4;19;2;2;2
blantjo01;2006;1;OAK;AL;16;12;32;31;1;1;0;583;241;104;17;58;107;0,309;4,82;4;3;5;0;856;0;111;3;9;20
bondeje01;2006;1;DET;AL;14;8;34;34;0;0;0;642;214;97;18;64;202;0,259;4,08;7;3;3;1;903;0;104;3;6;20
bonsebo01;2006;1;MIN;AL;7;6;18;18;0;0;0;301;104;47;18;24;84;0,267;4,22;0;2;1;0;419;0;50;2;2;9
bookech01;2006;1;KCA;AL;0;0;1;0;0;0;0;3;5;6;3;3;0;0,625;54,00;0;0;0;0;11;0;6;0;0;0
bookech01;2006;2;WAS;NL;0;0;10;0;0;0;0;22;5;3;1;1;7;0,192;3,68;0;1;0;0;27;2;3;0;0;1
bootcch01;2006;1;LAA;AL;0;1;7;0;0;0;0;31;16;12;3;9;7;0,364;10,45;0;1;0;0;54;5;12;1;0;4
borkoda01;2006;1;HOU;NL;3;2;40;0;0;0;0;213;70;37;8;23;52;0,257;4,69;7;2;0;0;299;12;38;2;2;5
borowjo01;2006;1;FLO;NL;3;3;72;0;0;0;36;209;63;29;7;33;64;0,235;3,75;7;1;2;0;304;60;31;1;0;3
bowiemi01;2006;1;WAS;NL;0;1;15;0;0;0;0;59;11;3;1;7;11;0,164;1,37;0;0;0;0;75;3;3;1;0;1
boyerbl01;2006;1;ATL;NL;0;0;2;0;0;0;0;2;4;3;0;1;0;0,667;40,50;0;0;0;0;7;0;3;0;0;0
bradfch01;2006;1;NYN;NL;4;2;70;0;0;0;2;186;59;20;1;13;45;0,254;2,90;4;0;0;0;252;15;22;4;3;6
braunry01;2006;1;KCA;AL;0;1;9;0;0;0;0;32;13;8;2;3;6;0,317;6,75;0;0;0;0;46;2;8;1;1;1
braybi01;2006;1;WAS;NL;1;1;19;0;0;0;0;69;24;10;2;9;16;0,273;3,91;2;0;1;0;100;4;11;1;1;4
braybi01;2006;2;CIN;NL;2;1;29;0;0;0;2;83;33;13;3;9;23;0,292;4,23;1;0;0;0;123;6;16;1;0;3
brazede01;2006;1;SDN;NL;0;2;9;2;0;0;0;54;28;24;6;9;9;0,354;12,00;1;1;0;0;91;3;25;1;2;0
brazoyh01;2006;1;LAN;NL;0;0;5;0;0;0;0;15;7;3;0;2;4;0,350;5,40;0;1;0;0;23;2;3;0;1;0
breslcr01;2006;1;BOS;AL;0;2;13;0;0;0;0;36;12;5;0;6;12;0,261;3,75;1;2;1;1;55;3;5;0;2;0
britoeu01;2006;1;PHI;NL;1;2;5;2;0;0;0;55;21;15;2;12;9;0,296;7,36;2;3;1;1;87;0;15;2;1;1
brittch01;2006;1;BAL;AL;0;2;52;0;0;0;1;161;46;20;4;17;41;0,228;3,35;3;0;0;0;221;12;22;1;1;2
brocado01;2006;1;SDN;NL;2;2;25;0;0;0;0;85;27;15;1;8;19;0,252;4,76;2;1;0;0;119;6;16;3;1;1
broweji01;2006;1;BAL;AL;0;1;12;0;0;0;0;37;21;19;1;13;9;0,389;13,86;1;2;3;0;71;1;19;0;1;2
broweji01;2006;2;SDN;NL;0;0;6;0;0;0;0;23;11;8;1;1;5;0,344;9,39;0;0;2;0;35;3;8;0;0;1
brownan01;2006;1;CLE;AL;0;0;9;0;0;0;0;30;6;4;0;8;7;0,171;3,60;1;1;1;0;44;4;4;0;0;1
broxtjo01;2006;1;LAN;NL;4;1;68;0;0;0;3;229;61;22;7;33;97;0,216;2,59;6;7;1;0;320;20;25;3;1;7
brunebr01;2006;1;NYA;AL;1;1;19;0;0;0;0;62;14;2;1;15;25;0,189;0,87;0;2;1;0;90;2;2;0;0;1
buchhta01;2006;1;HOU;NL;6;10;22;19;1;1;0;339;107;74;21;34;77;0,248;5,89;4;5;3;0;479;1;80;5;6;9
buehrma01;2006;1;CHA;AL;12;13;32;32;1;0;0;612;247;113;36;48;98;0,305;4,99;5;0;6;1;876;0;124;6;7;21
bulgeja01;2006;1;LAA;AL;0;0;2;0;0;0;0;5;1;3;0;3;1;0,167;16,20;0;1;0;0;9;1;3;0;0;0
