origem;ano;mes;dia;hora;temperatura;ponto_condensacao;umidade;direcao_vento;velocidade_vento;velocidade_rajada;precipitacao;pressao;visibilidade;data_hora
EWR;2013;1;1;1;39,02;26,06;59,37;270;10,35702;NA;0,00;1012,0;10,00;2013-01-01T06:00:00Z
EWR;2013;1;1;2;39,02;26,96;61,63;250;8,05546;NA;0,00;1012,3;10,00;2013-01-01T07:00:00Z
EWR;2013;1;1;3;39,02;28,04;64,43;240;11,50780;NA;0,00;1012,5;10,00;2013-01-01T08:00:00Z
EWR;2013;1;1;4;39,92;28,04;62,21;250;12,65858;NA;0,00;1012,2;10,00;2013-01-01T09:00:00Z
EWR;2013;1;1;5;39,02;28,04;64,43;260;12,65858;NA;0,00;1011,9;10,00;2013-01-01T10:00:00Z
EWR;2013;1;1;6;37,94;28,04;67,21;240;11,50780;NA;0,00;1012,4;10,00;2013-01-01T11:00:00Z
EWR;2013;1;1;7;39,02;28,04;64,43;240;14,96014;NA;0,00;1012,2;10,00;2013-01-01T12:00:00Z
EWR;2013;1;1;8;39,92;28,04;62,21;250;10,35702;NA;0,00;1012,2;10,00;2013-01-01T13:00:00Z
EWR;2013;1;1;9;39,92;28,04;62,21;260;14,96014;NA;0,00;1012,7;10,00;2013-01-01T14:00:00Z
EWR;2013;1;1;10;41,00;28,04;59,65;260;13,80936;NA;0,00;1012,4;10,00;2013-01-01T15:00:00Z
EWR;2013;1;1;11;41,00;26,96;57,06;260;14,96014;NA;0,00;1011,4;10,00;2013-01-01T16:00:00Z
EWR;2013;1;1;13;39,20;28,40;69,67;330;16,11092;NA;0,00;NA;10,00;2013-01-01T18:00:00Z
EWR;2013;1;1;14;39,02;24,08;54,68;280;13,80936;NA;0,00;1010,8;10,00;2013-01-01T19:00:00Z
EWR;2013;1;1;15;37,94;24,08;57,04;290;9,20624;NA;0,00;1011,9;10,00;2013-01-01T20:00:00Z
EWR;2013;1;1;16;37,04;19,94;49,62;300;13,80936;20,71404;0,00;1012,1;10,00;2013-01-01T21:00:00Z
EWR;2013;1;1;17;35,96;19,04;49,83;330;11,50780;NA;0,00;1013,2;10,00;2013-01-01T22:00:00Z
EWR;2013;1;1;18;33,98;15,08;45,43;310;12,65858;25,31716;0,00;1014,1;10,00;2013-01-01T23:00:00Z
EWR;2013;1;1;19;33,08;12,92;42,84;320;10,35702;NA;0,00;1014,4;10,00;2013-01-02T00:00:00Z
EWR;2013;1;1;20;32,00;15,08;49,19;310;14,96014;NA;0,00;1015,2;10,00;2013-01-02T01:00:00Z
EWR;2013;1;1;21;30,02;12,92;48,48;320;18,41248;26,46794;0,00;1016,0;10,00;2013-01-02T02:00:00Z
EWR;2013;1;1;22;28,94;12,02;48,69;320;18,41248;25,31716;0,00;1016,5;10,00;2013-01-02T03:00:00Z
EWR;2013;1;1;23;28,04;10,94;48,15;310;16,11092;NA;0,00;1016,4;10,00;2013-01-02T04:00:00Z
