origem;ano;mes;dia;hora;temperatura;ponto_condensacao;umidade;direcao_vento;velocidade_vento;velocidade_rajada;precipitacao;pressao;visibilidade;data_hora
EWR;2013;8;1;0;73,04;62,96;70,68;180;4,60312;NA;0,00;1017,1;10,00;2013-08-01T04:00:00Z
EWR;2013;8;1;1;71,96;62,96;73,30;170;4,60312;NA;0,00;NA;10,00;2013-08-01T05:00:00Z
EWR;2013;8;1;2;71,96;62,96;73,30;170;3,45234;NA;0,00;1015,8;10,00;2013-08-01T06:00:00Z
EWR;2013;8;1;3;71,96;62,96;73,30;190;3,45234;NA;0,00;1015,1;10,00;2013-08-01T07:00:00Z
EWR;2013;8;1;4;71,96;62,96;73,30;170;4,60312;NA;0,00;1015,0;10,00;2013-08-01T08:00:00Z
EWR;2013;8;1;5;71,96;64,04;76,13;160;3,45234;NA;0,00;1014,9;10,00;2013-08-01T09:00:00Z
EWR;2013;8;1;6;73,04;64,04;73,41;170;4,60312;NA;0,00;1014,8;10,00;2013-08-01T10:00:00Z
EWR;2013;8;1;7;73,94;64,04;71,22;160;6,90468;NA;0,00;1014,7;10,00;2013-08-01T11:00:00Z
EWR;2013;8;1;8;75,02;62,96;66,13;180;9,20624;NA;0,00;1014,4;10,00;2013-08-01T12:00:00Z
EWR;2013;8;1;9;73,04;66,02;78,65;190;10,35702;NA;0,00;1014,4;9,00;2013-08-01T13:00:00Z
EWR;2013;8;1;10;69,98;66,02;87,26;190;8,05546;NA;0,02;1014,5;6,00;2013-08-01T14:00:00Z
EWR;2013;8;1;11;69,08;64,94;86,66;0;0,00000;NA;0,02;1014,3;6,00;2013-08-01T15:00:00Z
EWR;2013;8;1;12;69,80;66,20;89,98;220;4,60312;NA;0,07;NA;5,00;2013-08-01T16:00:00Z
EWR;2013;8;1;13;69,08;66,02;89,98;120;3,45234;NA;0,13;1013,4;6,00;2013-08-01T17:00:00Z
EWR;2013;8;1;14;69,08;64,94;86,66;150;6,90468;NA;0,05;1012,8;5,00;2013-08-01T18:00:00Z
EWR;2013;8;1;15;69,80;66,20;89,98;NA;9,20624;NA;0,23;NA;6,00;2013-08-01T19:00:00Z
EWR;2013;8;1;16;71,06;66,92;86,77;130;6,90468;NA;0,02;1011,5;9,00;2013-08-01T20:00:00Z
EWR;2013;8;1;17;71,06;68,00;90,06;150;6,90468;NA;0,03;1011,0;7,00;2013-08-01T21:00:00Z
EWR;2013;8;1;18;71,06;68,00;90,06;NA;3,45234;NA;0,02;1010,9;5,00;2013-08-01T22:00:00Z
EWR;2013;8;1;19;71,60;69,80;94,06;170;6,90468;NA;0,05;NA;2,50;2013-08-01T23:00:00Z
EWR;2013;8;1;20;71,06;69,08;93,47;180;9,20624;NA;0,00;1010,8;7,00;2013-08-02T00:00:00Z
