origem;ano;mes;dia;hora;temperatura;ponto_condensacao;umidade;direcao_vento;velocidade_vento;velocidade_rajada;precipitacao;pressao;visibilidade;data_hora
EWR;2013;12;1;0;35,96;26,96;69,51;20;5,75390;NA;0,00;1027,9;10,00;2013-12-01T05:00:00Z
EWR;2013;12;1;1;37,04;26,96;69,46;350;6,90468;NA;0,00;NA;10,00;2013-12-01T06:00:00Z
EWR;2013;12;1;2;37,04;28,04;69,63;20;5,75390;NA;0,00;1026,6;10,00;2013-12-01T07:00:00Z
EWR;2013;12;1;3;35,96;28,04;72,66;10;5,75390;NA;0,00;1025,5;10,00;2013-12-01T08:00:00Z
EWR;2013;12;1;4;37,04;28,40;74,80;20;4,60312;NA;0,00;NA;10,00;2013-12-01T09:00:00Z
EWR;2013;12;1;5;35,06;28,04;75,31;10;4,60312;NA;0,00;1024,5;10,00;2013-12-01T10:00:00Z
EWR;2013;12;1;6;33,80;26,60;78,45;40;5,75390;NA;0,00;NA;10,00;2013-12-01T11:00:00Z
EWR;2013;12;1;7;35,06;28,94;78,13;20;4,60312;NA;0,00;1024,1;10,00;2013-12-01T12:00:00Z
EWR;2013;12;1;8;39,02;30,92;72,46;30;3,45234;NA;0,00;1023,7;10,00;2013-12-01T13:00:00Z
EWR;2013;12;1;9;42,08;32,00;67,22;0;0,00000;NA;0,00;1023,1;10,00;2013-12-01T14:00:00Z
EWR;2013;12;1;10;44,96;32,00;60,20;0;0,00000;NA;0,00;1022,2;10,00;2013-12-01T15:00:00Z
EWR;2013;12;1;11;46,04;30,02;53,33;180;3,45234;NA;0,00;1020,8;10,00;2013-12-01T16:00:00Z
EWR;2013;12;1;12;48,02;30,02;49,50;NA;4,60312;NA;0,00;1019,8;10,00;2013-12-01T17:00:00Z
EWR;2013;12;1;13;48,02;28,94;47,36;210;3,45234;NA;0,00;1018,7;10,00;2013-12-01T18:00:00Z
EWR;2013;12;1;14;50,00;30,02;45,97;NA;3,45234;NA;0,00;1018,5;10,00;2013-12-01T19:00:00Z
EWR;2013;12;1;15;48,02;30,92;51,34;210;5,75390;NA;0,00;1018,4;10,00;2013-12-01T20:00:00Z
EWR;2013;12;1;16;48,02;30,02;49,50;240;5,75390;NA;0,00;1018,2;10,00;2013-12-01T21:00:00Z
EWR;2013;12;1;17;46,94;30,02;51,55;230;5,75390;NA;0,00;1017,9;10,00;2013-12-01T22:00:00Z
EWR;2013;12;1;18;48,02;28,94;47,36;250;6,90468;NA;0,00;1017,9;10,00;2013-12-01T23:00:00Z
EWR;2013;12;1;19;46,94;30,02;51,55;250;4,60312;NA;0,00;1017,9;10,00;2013-12-02T00:00:00Z
EWR;2013;12;1;20;42,08;30,02;62,04;220;4,60312;NA;0,00;1017,3;10,00;2013-12-02T01:00:00Z
EWR;2013;12;1;21;44,06;28,94;55,02;260;5,75390;NA;0,00;1017,2;10,00;2013-12-02T02:00:00Z
EWR;2013;12;1;22;44,06;28,94;55,02;270;4,60312;NA;0,00;1016,9;10,00;2013-12-02T03:00:00Z
EWR;2013;12;1;23;42,98;28,04;55,27;270;3,45234;NA;0,00;1016,5;10,00;2013-12-02T04:00:00Z
EWR;2013;12;2;0;42,08;28,04;57,22;300;5,75390;NA;0,00;1016,2;10,00;2013-12-02T05:00:00Z
EWR;2013;12;2;1;42,08;28,04;57,22;260;5,75390;NA;0,00;1016,2;9,00;2013-12-02T06:00:00Z
EWR;2013;12;2;2;41,00;28,04;59,65;280;5,75390;NA;0,00;1015,7;10,00;2013-12-02T07:00:00Z
EWR;2013;12;2;3;39,02;26,96;61,63;280;4,60312;NA;0,00;1015,3;9,00;2013-12-02T08:00:00Z
EWR;2013;12;2;4;39,92;28,94;64,54;0;0,00000;NA;0,00;1015,0;10,00;2013-12-02T09:00:00Z
EWR;2013;12;2;5;39,92;28,94;64,54;0;0,00000;NA;0,00;1015,0;10,00;2013-12-02T10:00:00Z
EWR;2013;12;2;6;42,08;28,94;59,36;0;0,00000;NA;0,00;1014,9;10,00;2013-12-02T11:00:00Z
EWR;2013;12;2;7;41,00;30,02;64,68;40;4,60312;NA;0,00;1015,1;9,00;2013-12-02T12:00:00Z
EWR;2013;12;2;8;42,98;30,02;59,93;60;4,60312;NA;0,00;1015,2;8,00;2013-12-02T13:00:00Z
EWR;2013;12;2;9;44,06;30,92;59,64;0;0,00000;NA;0,00;1015,2;8,00;2013-12-02T14:00:00Z
EWR;2013;12;2;10;46,04;33,98;62,56;0;0,00000;NA;0,00;1014,9;8,00;2013-12-02T15:00:00Z
EWR;2013;12;2;11;46,94;33,98;60,47;0;0,00000;NA;0,00;1014,1;8,00;2013-12-02T16:00:00Z
EWR;2013;12;2;12;48,92;33,98;56,14;0;0,00000;NA;0,00;1013,4;8,00;2013-12-02T17:00:00Z
EWR;2013;12;2;13;51,08;33,08;49,97;0;0,00000;NA;0,00;1012,1;8,00;2013-12-02T18:00:00Z
EWR;2013;12;2;14;50,00;33,98;53,92;0;0,00000;NA;0,00;1012,6;6,00;2013-12-02T19:00:00Z
