origem;ano;mes;dia;hora;temperatura;ponto_condensacao;umidade;direcao_vento;velocidade_vento;velocidade_rajada;precipitacao;pressao;visibilidade;data_hora
EWR;2013;7;1;0;75,20;71,60;88,59;140;3,45234;NA;0,00;NA;10,0;2013-07-01T04:00:00Z
EWR;2013;7;1;1;75,02;71,06;87,50;150;4,60312;NA;0,00;1012,9;10,0;2013-07-01T05:00:00Z
EWR;2013;7;1;2;75,02;71,06;87,50;170;5,75390;NA;0,00;1012,5;10,0;2013-07-01T06:00:00Z
EWR;2013;7;1;3;73,94;71,06;90,73;180;8,05546;NA;0,00;1012,6;10,0;2013-07-01T07:00:00Z
EWR;2013;7;1;4;75,02;71,06;87,50;160;3,45234;NA;0,00;1012,7;10,0;2013-07-01T08:00:00Z
EWR;2013;7;1;5;75,02;71,06;87,50;140;4,60312;NA;0,00;1013,3;10,0;2013-07-01T09:00:00Z
EWR;2013;7;1;6;75,92;71,06;84,92;160;4,60312;NA;0,00;1013,5;9,0;2013-07-01T10:00:00Z
EWR;2013;7;1;7;75,92;71,96;88,59;160;5,75390;NA;0,00;NA;10,0;2013-07-01T11:00:00Z
EWR;2013;7;1;8;78,08;71,96;81,50;140;6,90468;NA;0,00;1013,7;10,0;2013-07-01T12:00:00Z
EWR;2013;7;1;9;77,00;71,60;90,73;220;19,56326;27,61872;0,28;NA;1,5;2013-07-01T13:00:00Z
EWR;2013;7;1;10;73,40;71,96;96,42;270;9,20624;NA;0,42;NA;1,5;2013-07-01T14:00:00Z
EWR;2013;7;1;11;75,02;73,04;94,10;130;3,45234;NA;0,21;NA;10,0;2013-07-01T15:00:00Z
EWR;2013;7;1;12;78,08;73,04;84,53;150;3,45234;NA;0,00;1015,0;10,0;2013-07-01T16:00:00Z
EWR;2013;7;1;13;75,92;73,04;90,80;140;6,90468;NA;0,01;1015,2;7,0;2013-07-01T17:00:00Z
EWR;2013;7;1;14;75,20;73,40;94,14;150;6,90468;NA;0,14;NA;8,0;2013-07-01T18:00:00Z
EWR;2013;7;1;15;77,00;73,04;87,60;110;8,05546;NA;0,01;1014,8;9,0;2013-07-01T19:00:00Z
EWR;2013;7;1;16;77,00;73,94;90,29;150;5,75390;NA;0,00;1014,8;10,0;2013-07-01T20:00:00Z
EWR;2013;7;1;17;77,00;73,40;90,80;150;10,35702;NA;0,00;NA;10,0;2013-07-01T21:00:00Z
EWR;2013;7;1;18;77,00;73,40;88,67;150;6,90468;NA;0,00;NA;10,0;2013-07-01T22:00:00Z
EWR;2013;7;1;19;77,00;73,04;87,60;160;8,05546;NA;0,00;1016,1;10,0;2013-07-01T23:00:00Z
EWR;2013;7;1;20;75,92;71,96;87,55;170;9,20624;NA;0,00;1016,4;10,0;2013-07-02T00:00:00Z
EWR;2013;7;1;21;75,92;71,96;88,59;170;9,20624;NA;0,00;NA;10,0;2013-07-02T01:00:00Z
EWR;2013;7;1;22;75,92;71,96;87,55;180;8,05546;NA;0,00;1017,2;10,0;2013-07-02T02:00:00Z
EWR;2013;7;1;23;75,92;71,96;87,55;180;8,05546;NA;0,00;1017,5;10,0;2013-07-02T03:00:00Z
EWR;2013;7;2;0;75,02;71,96;90,22;160;8,05546;NA;0,00;1017,7;10,0;2013-07-02T04:00:00Z
EWR;2013;7;2;1;75,02;71,96;90,22;160;5,75390;NA;0,00;1017,5;10,0;2013-07-02T05:00:00Z
EWR;2013;7;2;2;75,20;71,96;90,22;150;4,60312;NA;0,00;NA;10,0;2013-07-02T06:00:00Z
EWR;2013;7;2;3;75,02;71,96;94,10;170;6,90468;NA;0,00;NA;10,0;2013-07-02T07:00:00Z
EWR;2013;7;2;4;75,02;71,96;90,22;180;8,05546;NA;0,00;1018,2;10,0;2013-07-02T08:00:00Z
EWR;2013;7;2;5;75,20;71,96;90,22;180;5,75390;NA;0,00;NA;10,0;2013-07-02T09:00:00Z
EWR;2013;7;2;6;75,20;71,96;90,22;180;8,05546;NA;0,00;NA;10,0;2013-07-02T10:00:00Z
EWR;2013;7;2;8;77,00;71,96;88,59;170;8,05546;NA;0,00;NA;10,0;2013-07-02T12:00:00Z
EWR;2013;7;2;10;77,00;71,96;84,46;170;8,05546;NA;0,00;NA;10,0;2013-07-02T14:00:00Z
EWR;2013;7;2;11;78,98;71,96;79,12;170;8,05546;NA;0,00;1020,4;10,0;2013-07-02T15:00:00Z
EWR;2013;7;2;12;80,60;73,40;79,20;180;8,05546;NA;0,00;NA;10,0;2013-07-02T16:00:00Z
EWR;2013;7;2;13;80,96;73,40;78,76;160;10,35702;NA;0,00;NA;10,0;2013-07-02T17:00:00Z
EWR;2013;7;2;14;84,92;73,04;67,65;200;10,35702;NA;0,00;1019,3;10,0;2013-07-02T18:00:00Z
EWR;2013;7;2;15;82,94;71,96;69,53;170;10,35702;NA;0,00;1019,2;10,0;2013-07-02T19:00:00Z
EWR;2013;7;2;16;84,02;71,06;65,13;200;12,65858;NA;0,00;1019,0;10,0;2013-07-02T20:00:00Z
EWR;2013;7;2;17;82,94;71,06;67,44;200;10,35702;NA;0,00;1019,3;10,0;2013-07-02T21:00:00Z
EWR;2013;7;2;18;84,02;71,96;67,15;180;11,50780;NA;0,00;1019,8;10,0;2013-07-02T22:00:00Z
EWR;2013;7;2;19;80,06;71,96;76,36;220;14,96014;24,16638;0,00;1020,6;6,0;2013-07-02T23:00:00Z
EWR;2013;7;2;20;78,80;71,60;84,92;190;10,35702;NA;0,02;NA;10,0;2013-07-03T00:00:00Z
EWR;2013;7;2;21;75,92;71,96;88,59;200;11,50780;NA;0,00;NA;10,0;2013-07-03T01:00:00Z
EWR;2013;7;2;22;75,92;71,96;88,59;200;11,50780;NA;0,00;NA;10,0;2013-07-03T02:00:00Z
EWR;2013;7;2;23;75,02;71,06;87,50;190;11,50780;NA;0,00;1021,9;10,0;2013-07-03T03:00:00Z
