origem;ano;mes;dia;hora;temperatura;ponto_condensacao;umidade;direcao_vento;velocidade_vento;velocidade_rajada;precipitacao;pressao;visibilidade;data_hora
EWR;2013;11;1;0;64,04;62,06;93,28;200;11,50780;NA;0,01;1008,1;10,00;2013-11-01T04:00:00Z
EWR;2013;11;1;1;64,94;62,06;90,39;190;12,65858;NA;0,00;1007,2;10,00;2013-11-01T05:00:00Z
EWR;2013;11;1;2;64,94;62,06;90,39;200;14,96014;NA;0,00;1006,3;10,00;2013-11-01T06:00:00Z
EWR;2013;11;1;3;66,02;62,06;87,05;190;11,50780;NA;0,00;1005,2;10,00;2013-11-01T07:00:00Z
EWR;2013;11;1;4;66,92;60,98;81,22;190;13,80936;NA;0,00;1003,7;10,00;2013-11-01T08:00:00Z
EWR;2013;11;1;5;69,98;62,06;75,96;200;18,41248;32,22184;0,00;1002,7;10,00;2013-11-01T09:00:00Z
EWR;2013;11;1;6;69,98;62,96;78,41;200;18,41248;25,31716;0,00;1002,2;9,00;2013-11-01T10:00:00Z
EWR;2013;11;1;7;69,08;62,06;78,33;200;18,41248;33,37262;0,00;1001,5;10,00;2013-11-01T11:00:00Z
EWR;2013;11;1;8;69,08;62,06;78,33;200;20,71404;32,22184;0,01;1001,3;10,00;2013-11-01T12:00:00Z
EWR;2013;11;1;9;69,08;62,96;80,86;220;21,86482;28,76950;0,00;1001,8;4,00;2013-11-01T13:00:00Z
EWR;2013;11;1;10;64,40;60,80;88,09;250;19,56326;NA;0,12;NA;10,00;2013-11-01T14:00:00Z
EWR;2013;11;1;11;64,04;57,92;80,49;210;16,11092;NA;0,00;1002,5;10,00;2013-11-01T15:00:00Z
EWR;2013;11;1;12;64,94;57,02;75,51;220;17,26170;NA;0,00;1001,7;10,00;2013-11-01T16:00:00Z
EWR;2013;11;1;13;68,00;55,94;65,31;230;17,26170;27,61872;0,00;1001,4;10,00;2013-11-01T17:00:00Z
EWR;2013;11;1;14;71,06;53,06;52,95;240;21,86482;27,61872;0,00;1001,3;10,00;2013-11-01T18:00:00Z
EWR;2013;11;1;15;69,98;51,98;52,80;240;18,41248;26,46794;0,00;1001,4;10,00;2013-11-01T19:00:00Z
EWR;2013;11;1;16;69,98;51,98;52,80;240;9,20624;NA;0,00;1001,1;10,00;2013-11-01T20:00:00Z
EWR;2013;11;1;17;68,00;51,98;56,51;210;14,96014;19,56326;0,00;1002,1;10,00;2013-11-01T21:00:00Z
EWR;2013;11;1;18;66,02;53,96;65,07;210;13,80936;NA;0,00;1003,0;10,00;2013-11-01T22:00:00Z
EWR;2013;11;1;19;64,04;55,04;72,53;210;10,35702;NA;0,00;1003,8;10,00;2013-11-01T23:00:00Z
EWR;2013;11;1;20;62,96;55,04;75,33;230;12,65858;17,26170;0,00;1003,9;10,00;2013-11-02T00:00:00Z
EWR;2013;11;1;21;60,08;55,04;83,41;220;6,90468;NA;0,00;1004,7;10,00;2013-11-02T01:00:00Z
EWR;2013;11;1;22;60,08;55,94;86,18;250;4,60312;NA;0,00;1005,6;10,00;2013-11-02T02:00:00Z
EWR;2013;11;1;23;59,00;55,94;89,57;280;5,75390;NA;0,00;1004,8;10,00;2013-11-02T03:00:00Z
EWR;2013;11;2;0;59,00;55,94;89,57;330;5,75390;NA;0,00;1004,5;10,00;2013-11-02T04:00:00Z
EWR;2013;11;2;1;57,02;51,98;83,21;340;6,90468;NA;0,00;1003,9;10,00;2013-11-02T05:00:00Z
EWR;2013;11;2;2;55,94;46,04;69,30;10;4,60312;NA;0,00;1004,0;10,00;2013-11-02T06:00:00Z
EWR;2013;11;2;3;55,94;46,04;69,30;40;3,45234;NA;0,00;1003,7;10,00;2013-11-02T07:00:00Z
EWR;2013;11;2;4;55,04;46,94;74,08;30;4,60312;NA;0,00;1004,3;10,00;2013-11-02T08:00:00Z
EWR;2013;11;2;5;51,98;46,94;82,87;10;6,90468;NA;0,00;1004,1;10,00;2013-11-02T09:00:00Z
EWR;2013;11;2;6;53,96;48,02;80,25;20;4,60312;NA;0,00;1004,5;10,00;2013-11-02T10:00:00Z
EWR;2013;11;2;7;55,04;48,92;79,80;0;0,00000;NA;0,00;1005,3;10,00;2013-11-02T11:00:00Z
EWR;2013;11;2;8;57,02;48,92;74,27;350;4,60312;NA;0,00;1005,3;10,00;2013-11-02T12:00:00Z
EWR;2013;11;2;9;57,92;48,92;71,90;110;3,45234;NA;0,00;1005,3;10,00;2013-11-02T13:00:00Z
EWR;2013;11;2;10;60,08;48,02;64,35;0;0,00000;NA;0,00;1005,0;10,00;2013-11-02T14:00:00Z
EWR;2013;11;2;11;64,04;46,94;53,73;0;0,00000;NA;0,00;1004,4;10,00;2013-11-02T15:00:00Z
EWR;2013;11;2;12;66,02;44,96;46,52;150;4,60312;NA;0,00;1004,2;10,00;2013-11-02T16:00:00Z
EWR;2013;11;2;13;66,92;42,08;40,39;NA;5,75390;NA;0,00;1003,5;10,00;2013-11-02T17:00:00Z
