origem;ano;mes;dia;hora;temperatura;ponto_condensacao;umidade;direcao_vento;velocidade_vento;velocidade_rajada;precipitacao;pressao;visibilidade;data_hora
EWR;2013;10;1;0;59,00;53,96;83,34;230;8,05546;NA;0,00;1015,8;10,00;2013-10-01T04:00:00Z
EWR;2013;10;1;1;57,92;53,96;86,63;230;8,05546;NA;0,00;1015,7;10,00;2013-10-01T05:00:00Z
EWR;2013;10;1;2;57,92;53,06;83,82;240;4,60312;NA;0,00;1015,5;10,00;2013-10-01T06:00:00Z
EWR;2013;10;1;3;57,02;51,98;83,21;210;3,45234;NA;0,00;1015,3;10,00;2013-10-01T07:00:00Z
EWR;2013;10;1;4;55,94;51,98;86,52;200;3,45234;NA;0,00;1015,4;10,00;2013-10-01T08:00:00Z
EWR;2013;10;1;5;53,06;50,00;89,31;210;4,60312;NA;0,00;1015,7;10,00;2013-10-01T09:00:00Z
EWR;2013;10;1;6;55,04;51,98;89,40;200;4,60312;NA;0,00;1016,0;10,00;2013-10-01T10:00:00Z
EWR;2013;10;1;7;57,02;53,06;86,58;200;4,60312;NA;0,00;1016,1;9,00;2013-10-01T11:00:00Z
EWR;2013;10;1;8;62,96;53,06;70,07;0;0,00000;NA;0,00;1016,2;9,00;2013-10-01T12:00:00Z
EWR;2013;10;1;9;69,08;53,96;58,56;0;0,00000;NA;0,00;1016,3;10,00;2013-10-01T13:00:00Z
EWR;2013;10;1;10;73,94;53,96;49,66;0;0,00000;NA;0,00;1015,9;10,00;2013-10-01T14:00:00Z
EWR;2013;10;1;11;78,08;51,98;40,23;0;0,00000;NA;0,00;1015,2;10,00;2013-10-01T15:00:00Z
EWR;2013;10;1;12;80,06;51,98;37,69;0;0,00000;NA;0,00;1014,6;10,00;2013-10-01T16:00:00Z
EWR;2013;10;1;13;80,96;53,06;38,08;0;0,00000;NA;0,00;1013,8;10,00;2013-10-01T17:00:00Z
EWR;2013;10;1;14;82,04;53,96;38,00;280;8,05546;NA;0,00;1013,1;10,00;2013-10-01T18:00:00Z
EWR;2013;10;1;15;82,04;55,94;40,84;290;5,75390;NA;0,00;1012,6;10,00;2013-10-01T19:00:00Z
EWR;2013;10;1;16;80,96;55,94;42,30;270;13,80936;20,71404;0,00;1012,4;10,00;2013-10-01T20:00:00Z
EWR;2013;10;1;17;78,08;57,92;49,94;260;8,05546;NA;0,00;1012,8;10,00;2013-10-01T21:00:00Z
EWR;2013;10;1;18;75,92;57,92;53,65;230;5,75390;NA;0,00;1012,9;10,00;2013-10-01T22:00:00Z
EWR;2013;10;1;19;73,94;59,00;59,58;260;6,90468;NA;0,00;1013,4;10,00;2013-10-01T23:00:00Z
EWR;2013;10;1;20;71,96;59,00;63,70;280;6,90468;NA;0,00;1013,9;10,00;2013-10-02T00:00:00Z
EWR;2013;10;1;21;71,06;57,92;63,18;270;8,05546;NA;0,00;1014,0;10,00;2013-10-02T01:00:00Z
EWR;2013;10;1;22;69,08;57,02;65,44;270;6,90468;NA;0,00;1014,0;10,00;2013-10-02T02:00:00Z
EWR;2013;10;1;23;66,92;55,94;67,79;250;5,75390;NA;0,00;1014,0;10,00;2013-10-02T03:00:00Z
EWR;2013;10;2;0;62,96;55,04;75,33;240;3,45234;NA;0,00;1014,2;10,00;2013-10-02T04:00:00Z
EWR;2013;10;2;1;60,98;55,04;80,78;220;3,45234;NA;0,00;1014,6;10,00;2013-10-02T05:00:00Z
EWR;2013;10;2;2;60,98;53,96;77,66;210;3,45234;NA;0,00;1014,4;10,00;2013-10-02T06:00:00Z
EWR;2013;10;2;3;60,98;55,04;80,78;200;3,45234;NA;0,00;1014,2;10,00;2013-10-02T07:00:00Z
EWR;2013;10;2;4;57,92;53,96;86,63;0;0,00000;NA;0,00;1014,5;9,00;2013-10-02T08:00:00Z
EWR;2013;10;2;5;60,98;53,96;77,66;240;3,45234;NA;0,00;1014,8;10,00;2013-10-02T09:00:00Z
EWR;2013;10;2;6;59,00;53,06;80,64;250;4,60312;NA;0,00;1015,0;10,00;2013-10-02T10:00:00Z
EWR;2013;10;2;7;62,06;55,94;80,34;220;6,90468;NA;0,00;1015,2;10,00;2013-10-02T11:00:00Z
EWR;2013;10;2;8;68,00;55,94;65,31;230;8,05546;NA;0,00;1015,6;10,00;2013-10-02T12:00:00Z
EWR;2013;10;2;9;73,04;57,02;57,20;260;6,90468;NA;0,00;1015,7;10,00;2013-10-02T13:00:00Z
EWR;2013;10;2;10;75,92;57,92;53,65;270;11,50780;18,41248;0,00;1015,5;10,00;2013-10-02T14:00:00Z
EWR;2013;10;2;11;80,06;57,92;46,79;300;11,50780;NA;0,00;1015,1;10,00;2013-10-02T15:00:00Z
EWR;2013;10;2;12;82,04;57,02;42,47;270;13,80936;20,71404;0,00;1014,2;10,00;2013-10-02T16:00:00Z
EWR;2013;10;2;13;82,94;59,00;44,29;260;12,65858;20,71404;0,00;1013,6;10,00;2013-10-02T17:00:00Z
EWR;2013;10;2;14;84,92;59,00;41,55;250;10,35702;20,71404;0,00;1013,2;10,00;2013-10-02T18:00:00Z
EWR;2013;10;2;15;84,92;57,92;39,97;300;12,65858;NA;0,00;1013,2;10,00;2013-10-02T19:00:00Z
EWR;2013;10;2;16;84,92;59,00;41,55;270;13,80936;21,86482;0,00;1012,9;10,00;2013-10-02T20:00:00Z
EWR;2013;10;2;17;82,94;60,08;46,03;260;10,35702;NA;0,00;1013,0;10,00;2013-10-02T21:00:00Z
EWR;2013;10;2;18;82,04;60,08;47,39;270;9,20624;17,26170;0,00;1013,5;10,00;2013-10-02T22:00:00Z
EWR;2013;10;2;19;78,98;60,08;52,37;260;9,20624;NA;0,00;1014,2;10,00;2013-10-02T23:00:00Z
EWR;2013;10;2;20;77,00;60,98;57,73;280;8,05546;NA;0,00;1015,0;10,00;2013-10-03T00:00:00Z
EWR;2013;10;2;21;75,92;60,98;59,84;310;8,05546;NA;0,00;1015,4;10,00;2013-10-03T01:00:00Z
EWR;2013;10;2;22;73,94;60,08;61,92;NA;5,75390;NA;0,00;1015,9;10,00;2013-10-03T02:00:00Z
EWR;2013;10;2;23;73,04;60,08;63,83;270;3,45234;NA;0,00;1016,4;10,00;2013-10-03T03:00:00Z
EWR;2013;10;3;0;69,98;60,08;70,81;290;3,45234;NA;0,00;1016,8;10,00;2013-10-03T04:00:00Z
EWR;2013;10;3;1;69,98;60,08;70,81;270;4,60312;NA;0,00;1017,2;10,00;2013-10-03T05:00:00Z
EWR;2013;10;3;2;66,02;59,00;78,08;300;4,60312;NA;0,00;1017,2;10,00;2013-10-03T06:00:00Z
EWR;2013;10;3;3;66,02;57,92;75,12;280;5,75390;NA;0,00;1017,7;10,00;2013-10-03T07:00:00Z
EWR;2013;10;3;4;64,04;57,92;80,49;0;0,00000;NA;0,00;1017,9;10,00;2013-10-03T08:00:00Z
EWR;2013;10;3;5;62,96;57,92;83,60;280;4,60312;NA;0,00;1018,5;10,00;2013-10-03T09:00:00Z
EWR;2013;10;3;6;62,96;55,04;75,33;30;3,45234;NA;0,00;1018,9;10,00;2013-10-03T10:00:00Z
EWR;2013;10;3;7;64,94;55,94;72,62;20;5,75390;NA;0,00;1019,3;10,00;2013-10-03T11:00:00Z
