origem;ano;mes;dia;hora;temperatura;ponto_condensacao;umidade;direcao_vento;velocidade_vento;velocidade_rajada;precipitacao;pressao;visibilidade;data_hora
EWR;2013;9;1;0;80,06;71,06;74,07;220;5,75390;NA;0,00;1010,2;10,00;2013-09-01T04:00:00Z
EWR;2013;9;1;1;78,08;69,98;76,19;220;10,35702;NA;0,00;1009,8;10,00;2013-09-01T05:00:00Z
EWR;2013;9;1;2;75,92;71,06;84,92;200;9,20624;NA;0,00;1009,7;10,00;2013-09-01T06:00:00Z
EWR;2013;9;1;3;75,92;71,06;84,92;190;6,90468;NA;0,00;1009,4;10,00;2013-09-01T07:00:00Z
EWR;2013;9;1;4;75,20;71,96;93,54;210;11,50780;NA;0,00;NA;10,00;2013-09-01T08:00:00Z
EWR;2013;9;1;5;73,94;71,60;94,10;190;9,20624;NA;0,00;NA;10,00;2013-09-01T09:00:00Z
EWR;2013;9;1;6;73,94;71,06;90,73;220;3,45234;NA;0,00;1010,6;10,00;2013-09-01T10:00:00Z
EWR;2013;9;1;7;75,02;71,96;90,22;170;5,75390;NA;0,00;1010,6;10,00;2013-09-01T11:00:00Z
EWR;2013;9;1;8;77,00;71,96;84,46;190;5,75390;NA;0,00;NA;10,00;2013-09-01T12:00:00Z
EWR;2013;9;1;9;77,00;71,96;84,46;200;8,05546;NA;0,00;1010,9;10,00;2013-09-01T13:00:00Z
EWR;2013;9;1;10;78,80;73,40;88,67;210;6,90468;NA;0,00;NA;10,00;2013-09-01T14:00:00Z
EWR;2013;9;1;11;80,96;71,96;78,62;170;4,60312;NA;0,00;NA;10,00;2013-09-01T15:00:00Z
EWR;2013;9;1;12;82,04;73,04;74,25;180;9,20624;NA;0,00;NA;10,00;2013-09-01T16:00:00Z
EWR;2013;9;1;13;82,94;71,96;69,53;210;5,75390;NA;0,00;1010,0;10,00;2013-09-01T17:00:00Z
EWR;2013;9;1;14;84,02;73,40;74,28;190;5,75390;NA;0,00;NA;10,00;2013-09-01T18:00:00Z
EWR;2013;9;1;15;82,94;71,96;69,53;130;9,20624;NA;0,00;1009,3;10,00;2013-09-01T19:00:00Z
EWR;2013;9;1;16;82,04;71,96;71,59;110;9,20624;NA;0,00;1008,9;10,00;2013-09-01T20:00:00Z
EWR;2013;9;1;17;80,96;71,96;74,15;110;9,20624;NA;0,00;1009,1;10,00;2013-09-01T21:00:00Z
EWR;2013;9;1;18;80,06;71,06;74,07;170;8,05546;NA;0,00;1009,2;10,00;2013-09-01T22:00:00Z
EWR;2013;9;1;19;78,98;69,08;71,72;150;4,60312;NA;0,00;1009,0;10,00;2013-09-01T23:00:00Z
EWR;2013;9;1;20;77,00;68,00;73,78;200;4,60312;NA;0,00;1009,8;10,00;2013-09-02T00:00:00Z
EWR;2013;9;1;21;78,08;68,00;71,19;150;3,45234;NA;0,00;1010,0;10,00;2013-09-02T01:00:00Z
EWR;2013;9;1;22;77,00;71,06;81,92;110;3,45234;NA;0,00;1010,0;10,00;2013-09-02T02:00:00Z
EWR;2013;9;1;23;75,92;71,96;87,55;100;4,60312;NA;0,00;1009,5;9,00;2013-09-02T03:00:00Z
EWR;2013;9;2;0;75,92;71,96;88,59;0;0,00000;NA;0,00;NA;9,00;2013-09-02T04:00:00Z
EWR;2013;9;2;1;75,92;73,40;94,14;140;3,45234;NA;0,00;NA;8,00;2013-09-02T05:00:00Z
EWR;2013;9;2;2;75,92;73,40;94,14;150;4,60312;NA;0,00;NA;8,00;2013-09-02T06:00:00Z
EWR;2013;9;2;3;75,92;73,94;93,59;0;0,00000;NA;0,00;1008,1;7,00;2013-09-02T07:00:00Z
EWR;2013;9;2;4;75,92;73,04;90,80;160;3,45234;NA;0,00;1008,0;6,00;2013-09-02T08:00:00Z
EWR;2013;9;2;5;75,92;73,04;90,80;0;0,00000;NA;0,00;1008,1;6,00;2013-09-02T09:00:00Z
EWR;2013;9;2;6;75,92;73,04;90,80;0;0,00000;NA;0,00;1008,2;6,00;2013-09-02T10:00:00Z
EWR;2013;9;2;7;77,00;73,94;90,29;0;0,00000;NA;0,00;1008,7;6,00;2013-09-02T11:00:00Z
EWR;2013;9;2;8;77,00;73,94;90,29;0;0,00000;NA;0,00;1008,6;6,00;2013-09-02T12:00:00Z
EWR;2013;9;2;9;78,80;73,94;87,12;160;4,60312;NA;0,00;NA;7,00;2013-09-02T13:00:00Z
EWR;2013;9;2;10;80,60;73,40;83,55;NA;3,45234;NA;0,00;NA;7,00;2013-09-02T14:00:00Z
EWR;2013;9;2;11;82,40;73,40;74,28;0;0,00000;NA;0,00;NA;8,00;2013-09-02T15:00:00Z
EWR;2013;9;2;12;82,40;73,40;76,90;150;6,90468;NA;0,00;NA;8,00;2013-09-02T16:00:00Z
EWR;2013;9;2;13;80,06;71,06;74,07;190;9,20624;NA;0,00;1008,1;8,00;2013-09-02T17:00:00Z
EWR;2013;9;2;14;75,92;71,96;88,59;260;8,05546;NA;0,11;NA;7,00;2013-09-02T18:00:00Z
EWR;2013;9;2;15;78,08;73,94;88,59;240;9,20624;NA;0,03;NA;10,00;2013-09-02T19:00:00Z
